id,question,answer_key,answer,is_correct,extracted_key,latency_seconds
CSZ_2009_8_CSZ30764,A force of 5 N is required to increase the speed of a box from a rate of 1.0 m/s to 3.0 m/s within 5 s along a level surface. What change would most likely require additional force to produce the same results?,B,A,0,A,0.38852596282958984
Mercury_SC_407405,A hiker wants to know if air is warmer in a forest than in the nearby farm field. Which activity would best help the hiker find out which area is warmer?,D,D,1,D,0.34053707122802734
Mercury_7082653,Visible light in the electromagnetic spectrum,B,D,0,D,0.3253777027130127
ACTAAP_2010_5_5,A group of fish was released into a local lake. This species of fish had never lived in the lake before. Scientists want to collect data on how the lake's ecosystem is affected by the new fish. Which method of data collection will give the most accurate results?,C,C),1,C,0.4384331703186035
Mercury_SC_400836,What would happen if a magnet was placed in the center of a plastic bowl containing a mixture of iron filings and sand?,B,B,1,B,0.3320941925048828
Mercury_SC_LBS10619,What remains in the same location in the sky of the Northern Hemisphere each night?,C,C,1,C,0.32783079147338867
ACTAAP_2014_5_4,What is a characteristic of sedimentary rock?,C,C,1,C,0.3267710208892822
MCAS_2012_8_23644,Which of the following are formed when two crustal plates collide with one another?,C,C,1,C,0.3358736038208008
MSA_2012_8_34,"Sodium (Na) and chlorine (Cl) are two reactive and dangerous elements. Chlorine is a halogen gas that can cause respiratory damage and sodium is an alkali metal that reacts violently with water. What happens to the properties of sodium and chlorine when they react to form sodium chloride (NaCl), common table salt?",A,A,1,A,0.3986024856567383
MCAS_2005_8_1,"While hiking through Granville State Forest, a student finds an unusual plant-like organism that appears to lack chlorophyll. When the student examines a sample using a microscope, he sees many cells with cell walls and no chloroplasts. This organism is most likely a member of what Kingdom?",C,D,0,D,0.3406057357788086
Mercury_SC_405856,"A class wanted to see which paper airplane design could fly the farthest. In order to have the most accurate results, every student should",A,A,1,A,0.338223934173584
Mercury_7092208,"As the amount of carbon dioxide in the atmosphere increases, which occurrence is most likely a long-term result?",A,A,1,A,0.3364377021789551
Mercury_SC_405020,Oxygen-rich blood returns from the lungs to the heart. Which two systems are most directly involved in this process?,D,D),1,D,0.40831613540649414
NYSEDREGENTS_2012_4_17,Which characteristic helps some animals defend themselves against predators?,A,A,1,A,0.37108325958251953
Mercury_SC_406626,Which is a statement of fact?,C,C,1,C,0.33577466011047363
NYSEDREGENTS_2008_4_7,Which energy transformation occurs when a person hits a drum with a drumstick?,D,D,1,D,0.3289926052093506
Mercury_7033600,Which tool will best help scientists understand relationships between oceans and climate changes?,A,A,1,A,0.3313729763031006
Mercury_7194268,"Stars form from nebulae of dust and gases. Depending on its properties, a star may become a red, yellow, white, or blue star. Which property determines this star type?",C,C,1,C,0.3383677005767822
Mercury_7175770,Which cellular structure in an animal cell helps maintain homeostasis by controlling the transportation of substances into and out of the cell?,D,D,1,D,0.33597254753112793
VASoL_2008_3_38,Ice cubes are an example of which form of water?,C,C,1,C,0.3299393653869629
Mercury_7081288,A student organizes a list of the distances that five students ran in 10 minutes. Another way to best organize this data is by using a,B,B,1,B,0.3374440670013428
AIMS_2008_4_18,Which of the following contains salt water?,A,A,1,A,0.33107829093933105
Mercury_7207183,Sandstone and all other types of sedimentary rock are made up of particles. The source materials of these particles consist of,A,A,1,A,0.34663987159729004
MCAS_2012_8_23643,Ann makes hats for people. She has each person select the fabric and a hat style before she makes the hat to fit the person's head size. Which type of manufacturing system is Ann most likely using to make hats?,B,B,1,B,0.34385180473327637
Mercury_7069388,"A flat piece of paper has a mass of 5 grams. When the paper is crumpled into a ball, the mass of the crumpled paper is",C,D,0,D,0.34642505645751953
Mercury_SC_408554,"A group of workers needs to move a piano from the second floor of a building. The piano is too wide to fit through the door, so they will lower the piano to the ground through a window. Which tool would be best to help the workers lower the piano from the window?",C,C,1,C,0.36083459854125977
