id,question,answer_key,answer,risk_score,path_taken,is_correct,extracted_key,latency_seconds
CSZ_2009_8_CSZ30764,A force of 5 N is required to increase the speed of a box from a rate of 1.0 m/s to 3.0 m/s within 5 s along a level surface. What change would most likely require additional force to produce the same results?,B,A,0.07361486657784651,"Combined Steer Path (α=-0.16, N=10)",0,A,0.8933529853820801
Mercury_SC_407405,A hiker wants to know if air is warmer in a forest than in the nearby farm field. Which activity would best help the hiker find out which area is warmer?,D,D,0.049901336146073776,"Combined Steer Path (α=-0.09, N=10)",1,D,0.6548428535461426
Mercury_7082653,Visible light in the electromagnetic spectrum,B,D,0.0020634703528145874,Fast Path (Untouched),0,D,0.5681822299957275
ACTAAP_2010_5_5,A group of fish was released into a local lake. This species of fish had never lived in the lake before. Scientists want to collect data on how the lake's ecosystem is affected by the new fish. Which method of data collection will give the most accurate results?,C,C),0.04953032243093134,"Combined Steer Path (α=-0.09, N=10)",1,C,0.7001123428344727
Mercury_SC_400836,What would happen if a magnet was placed in the center of a plastic bowl containing a mixture of iron filings and sand?,B,B,0.005029114139955497,Fast Path (Untouched),1,B,0.5869910717010498
Mercury_SC_LBS10619,What remains in the same location in the sky of the Northern Hemisphere each night?,C,C,0.030901850777996804,"Combined Steer Path (α=-0.03, N=10)",1,C,0.5764682292938232
ACTAAP_2014_5_4,What is a characteristic of sedimentary rock?,C,C,0.01145404952961325,Fast Path (Untouched),1,C,0.5612118244171143
MCAS_2012_8_23644,Which of the following are formed when two crustal plates collide with one another?,C,C,0.010779307654995343,Fast Path (Untouched),1,C,0.5813627243041992
MSA_2012_8_34,"Sodium (Na) and chlorine (Cl) are two reactive and dangerous elements. Chlorine is a halogen gas that can cause respiratory damage and sodium is an alkali metal that reacts violently with water. What happens to the properties of sodium and chlorine when they react to form sodium chloride (NaCl), common table salt?",A,A,0.028476323225431893,"Combined Steer Path (α=-0.02, N=10)",1,A,0.6513583660125732
MCAS_2005_8_1,"While hiking through Granville State Forest, a student finds an unusual plant-like organism that appears to lack chlorophyll. When the student examines a sample using a microscope, he sees many cells with cell walls and no chloroplasts. This organism is most likely a member of what Kingdom?",C,D,0.040505130901467255,"Combined Steer Path (α=-0.06, N=10)",0,D,0.5925452709197998
Mercury_SC_405856,"A class wanted to see which paper airplane design could fly the farthest. In order to have the most accurate results, every student should",A,A,0.03919408485445821,"Combined Steer Path (α=-0.06, N=10)",1,A,0.5892255306243896
Mercury_7092208,"As the amount of carbon dioxide in the atmosphere increases, which occurrence is most likely a long-term result?",A,A,0.04208778200946399,"Combined Steer Path (α=-0.07, N=10)",1,A,0.5906920433044434
