id,question,answer_key,answer,is_correct,extracted_key,latency_seconds
Mercury_SC_413458,Which weather event is most likely to cause a forest fire?,B,B,1,B,0.44654250144958496
Mercury_SC_401168,Current moving through a circuit is stopped with a,C,C,1,C,0.39626240730285645
Mercury_417138,Estuaries are dynamic ecosystems where salt water and fresh water mix. Usually this happens as fresh water flows from a river to an ocean. When would you expect the concentration of salt in the estuary water to be LOWEST near the mouth of the river?,B,B,1,B,0.43737077713012695
Mercury_SC_402164,A student sets up an experiment to learn which colors of light are refracted by a prism. Which method will the student most likely use to collect data?,C,D,0,D,0.4498622417449951
Mercury_SC_400985,Which method is the safest way to watch an eclipse of the Sun?,C,C,1,C,0.43042707443237305
Mercury_7085225,"When a layer of sediment is deposited on the ocean floor, what is the next step in the formation of sedimentary rocks?",B,A,0,A,0.8345134258270264
Mercury_SC_409266,Gravity on Earth is caused by,A,A,1,A,0.33185815811157227
AKDE&ED_2008_8_47,"As stream velocity decreases, which factor will likely increase?",B,B,1,B,0.3286101818084717
Mercury_7186568,Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?,B,B,1,B,0.3421640396118164
Mercury_SC_405640,"Six puppies were born at the same time. After 6 months, one of the puppies was much heavier than the others. Which of the following is the most likely explanation for difference in size of that puppy?",A,A,1,A,0.33798909187316895
Mercury_SC_LBS11009,All of the following can be found on a food nutrition label except,C,C),1,C,0.38990139961242676
Mercury_7123078,The planets in the solar system revolve around the Sun because the Sun is,D,D,1,D,0.3442871570587158
Mercury_SC_406720,Many grass snakes are green. The color of the snake most likely helps it to,C,C,1,C,0.32654809951782227
Mercury_7033845,Which is the most likely reason that using energy generated from wind is better for air quality than burning fossil fuels?,B,B,1,B,0.33727192878723145
Mercury_407260,A chemical change happens when,B,B,1,B,0.3285226821899414
Mercury_405387,"The average temperatures over a four-month period were 31, 24, 18, and 12 degrees Celsius. What is the median temperature for these four months?",B,B,1,B,0.3405611515045166
Mercury_LBS11018,Some students are performing hardness tests on several substances. X scratches Y. Y scratches Z. Z scratches W. Which of these statements best describes substance W's hardness?,A,B,0,B,0.3433670997619629
MCAS_2012_5_23625,Which of the following characteristics is a lion least likely to pass on to its offspring?,C,C,1,C,0.35634779930114746
Mercury_SC_LBS10597,Which is a chemical change?,A,A,1,A,0.3622753620147705
Mercury_7016765,What is the primary cause of rainstorms?,A,C,0,C,0.3542463779449463
MDSA_2007_8_42,Thunderstorms and hurricanes are examples of severe weather. Which of these weather conditions is necessary for the formation of thunderstorms and hurricanes?,D,D,1,D,0.35762548446655273
Mercury_400440,What are the products in the reaction shown below? HCl + NaOH ->,D,D,1,D,0.3360018730163574
MCAS_2004_9_10-v1,"When estimating amounts of building supplies, it is better to allow for some waste and error rather than to cause delays by not ordering sufficient supplies. An engineer is estimating the number of bundles of shingles needed for a roof area of approximately 2000 sq. ft. In roofing, a square is 100 sq. ft., and each bundle covers one-third of a square. Which of the following is closest to the number of bundles that the engineer should order?",C,A,0,A,0.4100675582885742
Mercury_SC_415457,Which alternative energy resource is used most like coal?,D,B,0,B,0.3320767879486084
Mercury_404272,Which statement is an opinion about the heart?,B,B,1,B,0.34705615043640137
Mercury_SC_401801,Which best explains why it is important to perform repeated trials of an experiment?,A,A,1,A,0.33939695358276367
Mercury_7142800,Mangrove trees are an important wetland inhabitant. Which is an example of a limiting factor in mangrove wetlands that is unrelated to the density of the mangrove wetland?,B,B,1,B,0.3567981719970703
Mercury_SC_401587,Which stage occurs in both the life cycle of a tree and in the life cycle of a frog?,A,A,1,A,0.34873318672180176
NCEOGA_2013_5_20,Which characteristic would a child not inherit from one or both of its parents?,B,B,1,B,0.33765387535095215
Mercury_SC_401361,What do the tinted lenses of sunglasses do to the UV rays of the Sun?,C,A,0,A,0.35400986671447754
Mercury_SC_401605,Which item can safely be reused after an investigation?,A,B,0,B,0.36000990867614746
Mercury_SC_400046,Which characteristic explains why powdered tea becomes a solution when mixed with water?,B,B,1,B,0.3830130100250244
Mercury_7219678,Desalination removes salt from water. Removing salt from water can be risky because the process is expensive and slow. Sometimes the technology does not work. A beach community's surface and ground water was decreasing. The community decided to construct a large-scale plant to remove salt from the bay water. The plan to construct a salt-removing plant was accepted because the community,A,D,0,D,0.41996192932128906
MDSA_2007_8_30,"As the human population grows, the demand for natural resources increases. Which activity wastes a natural resource?",C,C,1,C,0.3586153984069824
Mercury_SC_401585,During which season does sunset occur latest in the day?,A,A,1,A,0.3468029499053955
Mercury_7126263,Which best describes the transformation of energy in a flashlight?,B,B,1,B,0.3535749912261963
Mercury_404609,Which feature of Great Basin National Park provides the best evidence that glaciers have moved over the landscape?,D,D,1,D,0.3497908115386963
Mercury_7103530,A student wants to determine which hand soap kills more bacteria. Her teacher tells her to change only the type of hand soap. The type of bacterium tested must be the same. Only one variable is tested because it,B,D,0,D,0.36752891540527344
VASoL_2010_3_39,A simple machine makes work easier because using it ___.,A,A,1,A,0.35010528564453125
Mercury_400500,Which set of elements contains only metals?,C,C,1,C,0.3570675849914551
Mercury_SC_414156,A compass can be made by magnetizing a needle and setting it on a floating cork. The cork will turn so that the needle is pointed north. Which statement explains why the needle points north?,C,C,1,C,0.4204413890838623
MCAS_2011_8_15365,Leopard's opening chant suggests that he is,C,C,1,C,0.35272955894470215
Mercury_7086748,Which of these is most necessary for the production of geothermal energy?,A,A,1,A,0.3657209873199463
Mercury_7130778,Organisms interact in the flow of energy in an ecosystem. Carnivores and omnivores are classified as consumers. Which two organisms are also classified as consumers?,C,D,0,D,0.3974459171295166
Mercury_SC_406710,A chameleon can change colors to match its surroundings. This ability helps the chameleon survive because it can,C,C,1,C,0.3753230571746826
LEAP_2005_8_10404,The radiant energy that comes to Earth from the Sun is,D,D,1,D,0.3811204433441162
Mercury_7109463,Which process in the carbon cycle takes the longest to complete?,D,D,1,D,0.369335412979126
Mercury_416593,"In 2014, a break in a storm water pipe released thousands of gallons of coal ash from a retired electrical plant into a river. The spill occurred upstream from the water treatment plants that serve communities along the river. Coal ash contains several hazardous metals including arsenic. Which stage of the water treatment process is most likely to remove hazardous metals from the water?",B,B,1,B,0.43436145782470703
CSZ_2005_5_CSZ10021,Why is watering plants and grass in the early morning a way to conserve water?,B,B,1,B,0.38706326484680176
Mercury_SC_410837,Researchers breed plants to produce crops that have helpful traits. One of these traits is the ability to grow where there is little moisture. How would this trait most likely benefit farmers?,B,B,1,B,0.39729928970336914
Mercury_SC_401272,Thomas Edison most likely invented the light bulb by using,D,D,1,D,0.37557196617126465
Mercury_SC_401792,Which is a renewable resource?,C,C,1,C,0.35896730422973633
Mercury_SC_408321,Many countries depend on the energy from fossil fuels. Some scientists suggest using renewable sources of energy instead. Why would scientists most likely suggest using renewable sources of energy?,A,A,1,A,0.38902759552001953
Mercury_7011130,Two chemicals react in a beaker that has water droplets on the outside of the bottom of the beaker. The water droplets freeze. Which statement best describes the reaction?,A,A,1,A,0.3971230983734131
TIMSS_2011_4_pg45,Some plants produce fruit such as apples. What is one function of a fruit?,A,A,1,A,0.391463041305542
Mercury_7001295,"In order to compare the results of an experiment among different groups, each group must",C,C,1,C,0.41022682189941406
Mercury_7271128,What is the complementary base to cytosine in DNA?,C,B,0,B,0.36580824851989746
LEAP_2000_8_2,El Cajon Pass in California is becoming higher than the land around it at a rate of nearly one centimeter each year. Which statement is true about the area?,A,D,0,D,0.4620187282562256
Mercury_SC_405931,"Pesticides are used by farmers to control insects. Sometimes, the pesticides run off into streams. This is an example of",D,D,1,D,0.39500880241394043
Mercury_SC_402616,Which is an example of condensation?,D,D,1,D,0.6282610893249512
Mercury_SC_409009,Bernice studied some organisms that live together in a field. In which way is a rabbit similar to the plant it eats?,A,A,1,A,0.39868974685668945
Mercury_415084,"Students observed a turtle in the schoolyard. They measured the distance that the turtle traveled in 30 minutes. If the turtle walked 40 meters in that time, what was its average speed?",C,A,0,A,0.39838695526123047
Mercury_7016310,What atomic structure is made up of MORE than one particle?,C,C,1,C,0.36452245712280273
MCAS_2015_5_14,Which of the following describes water changing from liquid to solid?,A,A,1,A,0.37024855613708496
Mercury_406800,Bacteria are organisms that reproduce asexually. What would the traits inherited by a newly produced bacterium be like?,B,B,1,B,0.3789663314819336
Mercury_7182210,Tide pools are habitats for several kinds of organisms that attach to the rocky surface and depend upon tides for food and oxygen. Sea stars present in these tide pools feed on mussels and other shellfish that have no other natural predators. How will it most likely impact species diversity if all of the sea stars are removed from the tide pool ecosystem?,B,B,1,B,0.4417104721069336
Mercury_7072380,The amount of gravitational attraction between the Moon and an astronaut standing on its surface depends on the astronaut's distance from the center of the Moon and the astronaut's,B,B,1,B,0.3745565414428711
Mercury_416683,Which of the following events along the west coast of the United States provides direct evidence that upwelling brings nutrient-rich waters to the surface?,C,C),1,C,0.4371004104614258
Mercury_SC_405827,"Two girls are pulling on opposite ends of a thick rope. Both girls pull on the rope with the same force but in opposite directions. If both girls continue to pull with the same force, what will most likely happen?",B,B,1,B,0.3858299255371094
Mercury_7141610,There is a very slight change in gravity at the top of a mountain. Which property would most likely be less at the top of a mountain?,B,B,1,B,0.3675193786621094
