id,question,answer_key,answer,risk_score,path_taken,is_correct,extracted_key,latency_seconds
Mercury_SC_413458,Which weather event is most likely to cause a forest fire?,B,B,0.005997381601884193,Fast Path (Untouched),1,B,9.735568523406982
Mercury_SC_401168,Current moving through a circuit is stopped with a,C,C,0.01025924613047865,Fast Path (Untouched),1,C,0.7340598106384277
Mercury_417138,Estuaries are dynamic ecosystems where salt water and fresh water mix. Usually this happens as fresh water flows from a river to an ocean. When would you expect the concentration of salt in the estuary water to be LOWEST near the mouth of the river?,B,B,0.057741101908074896,"Combined Steer Path (α=-0.11, N=10)",1,B,0.7234413623809814
Mercury_SC_402164,A student sets up an experiment to learn which colors of light are refracted by a prism. Which method will the student most likely use to collect data?,C,D,0.08219721925453168,"Combined Steer Path (α=-0.19, N=10)",0,D,0.6733779907226562
Mercury_SC_400985,Which method is the safest way to watch an eclipse of the Sun?,C,C,0.013432622957933711,Fast Path (Untouched),1,C,0.8308463096618652
Mercury_7085225,"When a layer of sediment is deposited on the ocean floor, what is the next step in the formation of sedimentary rocks?",B,A,0.02075665143463089,Fast Path (Untouched),0,A,1.0768723487854004
Mercury_SC_409266,Gravity on Earth is caused by,A,A,0.012050929252531178,Fast Path (Untouched),1,A,0.755490779876709
AKDE&ED_2008_8_47,"As stream velocity decreases, which factor will likely increase?",B,B,0.03552533391339167,"Combined Steer Path (α=-0.05, N=10)",1,B,0.5754640102386475
Mercury_7186568,Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?,B,B,0.01661098177277967,Fast Path (Untouched),1,B,0.5942356586456299
Mercury_SC_405640,"Six puppies were born at the same time. After 6 months, one of the puppies was much heavier than the others. Which of the following is the most likely explanation for difference in size of that puppy?",A,A,0.05639654550881619,"Combined Steer Path (α=-0.11, N=10)",1,A,0.600261926651001
Mercury_SC_LBS11009,All of the following can be found on a food nutrition label except,C,C),0.05314493287360028,"Combined Steer Path (α=-0.10, N=10)",1,C,0.6291251182556152
Mercury_7123078,The planets in the solar system revolve around the Sun because the Sun is,D,D,0.03111636609513111,"Combined Steer Path (α=-0.03, N=10)",1,D,0.584381103515625
Mercury_SC_406720,Many grass snakes are green. The color of the snake most likely helps it to,C,C,0.08857844834885256,"Combined Steer Path (α=-0.21, N=10)",1,C,0.5873265266418457
Mercury_7033845,Which is the most likely reason that using energy generated from wind is better for air quality than burning fossil fuels?,B,B,0.052858265534603766,"Combined Steer Path (α=-0.10, N=10)",1,B,0.598120927810669
Mercury_407260,A chemical change happens when,B,B,0.028754143742775507,"Combined Steer Path (α=-0.02, N=10)",1,B,0.5775742530822754
Mercury_405387,"The average temperatures over a four-month period were 31, 24, 18, and 12 degrees Celsius. What is the median temperature for these four months?",B,B,0.09020560114489157,"Combined Steer Path (α=-0.21, N=10)",1,B,0.6011996269226074
Mercury_LBS11018,Some students are performing hardness tests on several substances. X scratches Y. Y scratches Z. Z scratches W. Which of these statements best describes substance W's hardness?,A,B,0.12082018305165751,"Combined Steer Path (α=-0.31, N=10)",0,B,0.6091907024383545
MCAS_2012_5_23625,Which of the following characteristics is a lion least likely to pass on to its offspring?,C,C,0.08703455178779035,"Combined Steer Path (α=-0.20, N=10)",1,C,0.6148152351379395
Mercury_SC_LBS10597,Which is a chemical change?,A,A,0.011567774851742912,Fast Path (Untouched),1,A,0.601365327835083
Mercury_7016765,What is the primary cause of rainstorms?,A,C,0.0028309190711036155,Fast Path (Untouched),0,C,0.6174366474151611
MDSA_2007_8_42,Thunderstorms and hurricanes are examples of severe weather. Which of these weather conditions is necessary for the formation of thunderstorms and hurricanes?,D,D,0.02827947705953675,"Combined Steer Path (α=-0.02, N=10)",1,D,0.600909948348999
Mercury_400440,What are the products in the reaction shown below? HCl + NaOH ->,D,D,0.010361232791077462,Fast Path (Untouched),1,D,0.6053738594055176
MCAS_2004_9_10-v1,"When estimating amounts of building supplies, it is better to allow for some waste and error rather than to cause delays by not ordering sufficient supplies. An engineer is estimating the number of bundles of shingles needed for a roof area of approximately 2000 sq. ft. In roofing, a square is 100 sq. ft., and each bundle covers one-third of a square. Which of the following is closest to the number of bundles that the engineer should order?",C,A,0.20741969042306763,"Combined Steer Path (α=-0.57, N=10)",0,A,0.6827113628387451
